Sexo y grupos de edad,Población total,Para ver aún con los anteojos o lentes puestos,Para oir ,Para hablar,Para caminar o subir gradas,Para utilizar brazos o manos,Del tipo intelectual,Del tipo mental,No tiene ninguna discapacidad
Hombres,2 106 063, 112 613, 37 240, 16 595, 64 271, 23 001, 19 968, 14 126,1 887 668
De 0 a 14 años, 542 618, 7 241, 1 844, 4 748, 2 523, 1 228, 5 686, 1 713, 522 484
De 15 a 29 años, 589 260, 13 164, 2 705, 2 870, 4 800, 2 465, 6 587, 2 948, 559 775
De 30 a 59 años, 763 923, 52 349, 10 727, 4 633, 24 450, 9 601, 5 975, 5 888, 670 212
De 60 a 64 años, 65 432, 10 085, 2 963,680, 6 209, 2 179,407,723, 47 898
De 65 a 74 años, 86 754, 15 406, 7 145, 1 336, 11 381, 3 537,638, 1 208, 58 280
De 75 a 89 años, 53 283, 12 730, 9 993, 1 923, 12 888, 3 456,574, 1 428, 27 492
De 90 años y más, 4 793, 1 638, 1 863,405, 2 020,535,101,218, 1 527
,,,,,,,,,
Mujeres,2 195 649, 138 851, 33 469, 12 818, 76 109, 25 858, 15 448, 12 845,1 961 195
De 0 a 14 años, 525 212, 7 230, 1 495, 2 583, 2 226,974, 3 885,911, 509 413
De 15 a 29 años, 604 820, 17 497, 2 278, 1 940, 3 550, 1 488, 4 808, 2 009, 576 370
De 30 a 59 años, 826 543, 65 160, 9 916, 3 726, 24 469, 9 929, 4 892, 5 370, 725 827
De 60 a 64 años, 72 192, 12 289, 2 446,530, 7 581, 2 587,359,706, 52 518
De 65 a 74 años, 94 828, 18 683, 5 713, 1 133, 15 329, 4 679,566, 1 268, 62 202
De 75 a 89 años, 64 672, 15 638, 9 265, 2 203, 19 333, 5 132,757, 2 086, 32 517
De 90 años y más, 7 382, 2 354, 2 356,703, 3 621, 1 069,181,495, 2 348
